type,entry_time,entry_price,exit_time,exit_price,pnl
buy,2019-01-11 04:00:00+00:00,5.718312599999999,2019-01-11 05:00:00+00:00,5.7588354,0.00708649611075838
buy,2019-01-11 13:00:00+00:00,5.92592,2019-01-11 14:00:00+00:00,5.9699241,0.007425699300699374
buy,2019-01-12 06:00:00+00:00,5.817711899999999,2019-01-12 07:00:00+00:00,5.8498443,0.005523202343519443
buy,2019-01-13 18:00:00+00:00,5.543738199999999,2019-01-13 19:00:00+00:00,5.5246698,-0.003439628516368109
buy,2019-01-13 20:00:00+00:00,5.513207699999999,2019-01-13 22:00:00+00:00,5.4306639,-0.014972009851905083
buy,2019-01-14 11:00:00+00:00,5.622316699999999,2019-01-14 12:00:00+00:00,5.7047894999999995,0.01466882859871636
buy,2019-01-15 21:00:00+00:00,5.733327599999999,2019-01-15 22:00:00+00:00,5.7747195,0.00721952466138525
buy,2019-01-17 02:00:00+00:00,6.014908899999999,2019-01-17 03:00:00+00:00,5.9852088,-0.004937747269954405
buy,2019-01-22 06:00:00+00:00,6.4068004,2019-01-22 08:00:00+00:00,6.3986949,-0.0012651400845888844
buy,2019-01-22 09:00:00+00:00,6.375368999999999,2019-01-22 10:00:00+00:00,6.3781155,0.0004307985937756154
buy,2019-01-22 12:00:00+00:00,6.4613549,2019-01-22 13:00:00+00:00,6.4187748000000004,-0.006589964590863049
buy,2019-01-24 03:00:00+00:00,6.4211146999999995,2019-01-24 04:00:00+00:00,6.4348587,0.002140438326074578
buy,2019-01-24 05:00:00+00:00,6.4324259999999995,2019-01-24 06:00:00+00:00,6.4309626,-0.0002275035888480582
buy,2019-01-26 15:00:00+00:00,6.750643899999999,2019-01-26 16:00:00+00:00,6.7971960000000005,0.006895949584898312
buy,2019-01-29 05:00:00+00:00,6.076970899999999,2019-01-29 08:00:00+00:00,6.0692247,-0.0012746811079840479
buy,2019-01-29 22:00:00+00:00,6.104798699999999,2019-01-29 23:00:00+00:00,6.1599339,0.009031452584997011
buy,2019-01-30 00:00:00+00:00,6.049343299999999,2019-01-30 02:00:00+00:00,6.0428511,-0.0010732074008759586
buy,2019-02-01 01:00:00+00:00,6.142536399999999,2019-02-01 04:00:00+00:00,6.2223714,0.012997073977453515
buy,2019-02-02 00:00:00+00:00,6.5232167,2019-02-02 02:00:00+00:00,6.5086848,-0.0022277199529489354
buy,2019-02-02 20:00:00+00:00,6.809903099999999,2019-02-02 21:00:00+00:00,6.7701231,-0.005841492810668422
buy,2019-02-03 19:00:00+00:00,6.6467401,2019-02-03 22:00:00+00:00,6.6686247,0.003292531326747667
buy,2019-02-05 01:00:00+00:00,7.073666599999999,2019-02-05 02:00:00+00:00,7.0786143,0.000699453378252329
